Region,Country,City,Airport Name,IATA Code,longitude_deg,latitude_deg
Northern Africa,Algeria,Algiers,Houari Boumediene Airport,ALG,3.214531,36.693886
Northern Africa,Algeria,Annaba,Rabah Bitat Airport,AAE,7.81334,36.826781
Northern Africa,Algeria,Batna,Batna Airport,BLJ,6.30859,35.752102
Northern Africa,Algeria,Béjaïa,Soummam Airport,BJA,5.069804,36.711952
Northern Africa,Algeria,Chlef,Chlef International Airport,CFK,1.342237,36.217166
Northern Africa,Algeria,Constantine,Mohamed Boudiaf International Airport,CZL,6.620389938354492,36.2760009765625
Northern Africa,Algeria,Jijel,Jijel Ferhat Abbas Airport,GJL,5.87361,36.795101
Northern Africa,Algeria,Oran,Oran Es Senia Airport,ORN,-0.621183,35.623901
Northern Africa,Algeria,Oumache,Biskra Airport,BSK,5.73823,34.793301
Northern Africa,Algeria,Sétif,Ain Arnat Airport,QSF,5.3244900703399995,36.178100585900005
Northern Africa,Algeria,Tlemcen,Zenata – Messali El Hadj Airport,TLM,-1.457191,35.013426
Northern Africa,Egypt,Alexandria,Alexandria International Airport,HBE,29.696437,30.93249
Northern Africa,Egypt,Asyut,Assiut Airport,ATZ,31.016309,27.050818
Northern Africa,Egypt,Aswan,Aswan International Airport,ASW,32.824445,23.968137
Northern Africa,Egypt,Cairo,Cairo International Airport,CAI,31.396694,30.111534
Northern Africa,Egypt,El Arish,El Arish International Airport,AAC,33.836791,31.078565
Northern Africa,Egypt,El Dabaa,El Alamein International Airport,DBB,28.46161,30.924324
Northern Africa,Egypt,Hurghada,Hurghada International Airport,HRG,33.796692,27.176776
Northern Africa,Egypt,Luxor,Luxor International Airport,LXR,32.706451,25.671037
Northern Africa,Egypt,Marsa Alam,Marsa Alam International Airport,RMF,34.59245,25.555548
Northern Africa,Egypt,Mersa Matruh,Mersa Matruh International Airport,MUH,27.221716,31.325464
Northern Africa,Egypt,Saint Catherine,St. Catherine International Airport,SKV,34.062681,28.684601
Northern Africa,Egypt,Sharm El Sheikh,Sharm El Sheikh International Airport,SSH,34.394717,27.977272
Northern Africa,Egypt,Sohag,Sohag International Airport,HMB,31.743017,26.342515
Northern Africa,Egypt,Taba,Taba International Airport,TCP,34.775752,29.594496
Northern Africa,Libya,Benghazi,Benina International Airport,BEN,20.269501,32.096802
Northern Africa,Libya,Sabha,Sabha Airport,SEB,14.466162,26.992452
Northern Africa,Libya,Tripoli,Tripoli International Airport,TIP,13.159,32.6635
Northern Africa,Libya,Tajoura,Mitiga International Airport,MJI,13.287878,32.89177
Northern Africa,Morocco,Agadir,Agadir–Al Massira Airport,AGA,-9.412003,30.322478
Northern Africa,Morocco,Beni Mellal,Beni Mellal Airport,BEM,-6.315905,32.401895
Northern Africa,Morocco,Casablanca,Mohammed V International Airport,CMN,-7.58997,33.3675
Northern Africa,Morocco,Essaouira,Essaouira-Mogador Airport,ESU,-9.6817,31.3975
Northern Africa,Morocco,Fes,Fès–Saïs Airport,FEZ,-4.97796,33.927299
Northern Africa,Morocco,Marrakesh,Marrakesh Menara Airport,RAK,-8.0363,31.606899
Northern Africa,Morocco,Nador,Nador International Airport,NDR,-3.02821,34.9888
Northern Africa,Morocco,Ouarzazate,Ouarzazate Airport,OZZ,-6.909430027010001,30.9391002655
Northern Africa,Morocco,Oujda,Angads Airport,OUD,-1.926041,34.789558
Northern Africa,Morocco,Rabat,Rabat–Salé Airport,RBA,-6.75152,34.051498
Northern Africa,Morocco,Tangier,Tangier Ibn Battouta Airport,TNG,-5.921459,35.731741
Northern Africa,Morocco,Tetouan,Sania Ramel Airport,TTU,-5.32002,35.594299
Northern Africa,Morocco,Dakhla,Dakhla Airport,VIL,-15.932,23.7183
Northern Africa,Morocco,Laayoune,Hassan I Airport,EUN,-13.224947,27.142467
Northern Africa,Sudan,Khartoum,Khartoum International Airport,KRT,32.5532,15.5895
Northern Africa,Sudan,Port Sudan,Port Sudan New International Airport,PZU,37.234100341796875,19.4335994720459
Northern Africa,Tunisia,Djerba,Djerba–Zarzis International Airport,DJE,10.7755,33.875
Northern Africa,Tunisia,Enfidha,Enfidha–Hammamet International Airport,NBE,10.438611,36.075833
Northern Africa,Tunisia,Monastir,Monastir Habib Bourguiba International Airport,MIR,10.75469970703125,35.75809860229492
Northern Africa,Tunisia,Sfax,Sfax–Thyna International Airport,SFA,10.690999984741213,34.71799850463867
Northern Africa,Tunisia,Tabarka,Tabarka–Aïn Draham International Airport,TBJ,8.87694,36.98
Northern Africa,Tunisia,Tozeur,Tozeur–Nefta International Airport,TOE,8.110560417175293,33.939701080322266
Northern Africa,Tunisia,Tunis,Tunis–Carthage International Airport,TUN,10.2272,36.851002
Western Africa,Benin,Cotonou,Cadjehoun Airport,COO,2.38435,6.35723
