Territory,Side
Afghanistan,right
Albania,right
Algeria,right
American Samoa,right
Andorra,right
Angola,right
Anguilla,left
Antigua and Barbuda,left
Argentina,right
Armenia,right
Aruba,right
Australia,left
Austria,right
Azerbaijan,right
Azores,right
Bahamas,left
Bahrain,right
Balearic Islands,right
Bangladesh,left
Barbados,left
Belarus,right
Belgium,right
Belize,right
Benin,right
Bermuda,left
Bhutan,left
Bolivia,right
Bonaire,right
Bosnia and Herzegovina,right
Botswana,left
Brazil,right
British Virgin Islands,left
Brunei,left
Bulgaria,right
Burkina Faso,right
Myanmar,right
Burundi,right
Cambodia,right
Cameroon,right
Canada,right
Canary Islands,right
Cape Verde,right
Cayman Islands,left
Central African Republic,right
Chad,right
Chile,right
"China, People’s Republic of",right
Christmas Island ,left
Cocos (Keeling) Islands ,left
Colombia,right
Comoros,right
Democratic Republic of the Congo,right
Republic of the Congo,right
Cook Islands,left
Costa Rica,right
Côte d’Ivoire,right
Croatia,right
Cuba,right
Curaçao,right
Cyprus,left
Czechia,right
Denmark,right
Djibouti,right
Dominica,left
Dominican Republic,right
Timor-Leste,left
Ecuador,right
Egypt,right
El Salvador,right
England,left
Equatorial Guinea,right
Eritrea,right
Estonia,right
eSwatini,left
Ethiopia,right
Faroe Islands,right
Falkland Islands,left
Fiji,left
Finland,right
France,right
French Guiana,right
French Polynesia ,right
Gabon ,right
Gambia,right
Georgia,right
Germany,right
Ghana,right
Gibraltar,right
Great Britain,left
Greece,right
Greenland,right
Grenada,left
Guadeloupe,right
Guam,right
Guatemala,right
Guernsey,left
Guinea,right
Guinea-Bissau,right
Guyana,left
Haiti,right
Netherlands,right
Honduras,right
Hong Kong,left
Hungary,right
Iceland,right
India,left
Indonesia,left
Iran,right
Iraq,right
Ireland,left
"Ireland, Northern",left
Isle of Man,left
Israel,right
Italy,right
Ivory Coast,right
Jamaica,left
Japan,left
Jersey,left
Jordan,right
Kazakhstan,right
Kenya,left
Kiribati,left
"Korea, North",right
"Korea, South",right
Kosovo,right
Kuwait,right
Kyrgyzstan,right
Laos,right
Latvia,right
Lebanon,right
Lesotho,left
Liberia,right
Libya,right
Liechtenstein,right
Lithuania,right
Luxembourg,right
Macau,left
"Macedonia, North",right
Madagascar,right
Madeira,right
Malawi,left
Malaysia,left
Maldives,left
Mali,right
Malta,left
Marshall Islands,right
Martinique,right
Mauritania,right
Mauritius,left
Mayotte,right
Mexico,right
Moldova,right
Monaco,right
Mongolia,right
Montenegro,right
Montserrat,left
Morocco,right
Mozambique,left
Myanmar,right
Namibia,left
Nauru,left
Nepal,left
Netherlands,right
New Caledonia,right
New Zealand,left
Nicaragua,right
Niger,right
Nigeria,right
Niue,left
Norfolk Island,left
North Korea,right
North Macedonia,right
Northern Ireland,left
Northern Mariana Islands,right
Norway,right
Oman,right
Pakistan,left
Palau,right
Palestine,right
Panama,right
Papua New Guinea,left
Paraguay,right
Peru,right
Philippines,right
Pitcairn Islands,left
Poland,right
Portugal,right
Puerto Rico,right
Qatar,right
Réunion,right
Romania,right
Russia,right
Rwanda,right
Saba,right
Saint Barthélemy,right
Saint Helena,left
St. Kitts and Nevis,left
St. Lucia,left
St. Martin,right
St. Pierre and Miquelon,right
St. Vincent and the Grenadines,left
Samoa,left
San Marino,right
São Tomé and Príncipe,right
Saudi Arabia,right
Scotland,left
Senegal,right
Serbia,right
Seychelles,left
Sierra Leone,right
Singapore,left
St. Eustatius,right
St. Maarten,right
Slovakia,right
Slovenia,right
Solomon Islands,left
Somalia,right
South Africa,left
South Korea,right
South Sudan,right
Spain,right
Sri Lanka,left
Sudan,right
Suriname,left
Sweden,right
Switzerland,right
Syria,right
Tahiti,right
Taiwan,right
Tajikistan,right
Tanzania,left
Thailand,left
Togo,right
Tokelau,left
Tonga,left
Trinidad and Tobago,left
Tunisia,right
Turkey,right
Turkmenistan,right
Turks and Caicos Islands,left
Tuvalu,left
Uganda,left
Ukraine,right
United Arab Emirates,right
United Kingdom,left
United States of America,right
United States Virgin Islands,left
Uruguay,right
Uzbekistan,right
Vanuatu,right
Vatican City,right
Venezuela,right
Vietnam,right
British Virgin Islands,left
Virgin Islands,left
Wales,left
Wallis and Futuna ,right
Western Sahara,right
Yemen,right
Zambia,left
Zimbabwe,left
