Year,Region,Country,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated
2030,Asia-Pacific,Afghanistan,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0
2030,Europe,Albania,1.0,15.4,1.0,1.0,1.0,83.6,1.0,1.0
2030,Middle East-North Africa,Algeria,1.0,1.0,1.0,1.0,1.0,97.9,1.0,1.8
2030,Asia-Pacific,American Samoa,1.0,98.3,1.0,1.0,1.0,1.0,1.0,1.0
2030,Europe,Andorra,1.0,89.5,1.0,1.0,1.0,1.0,1.0,8.8
2030,Sub-Saharan Africa,Angola,1.0,90.5,4.1,1.0,1.0,1.0,1.0,5.2
2030,Latin America-Caribbean,Anguilla,1.0,90.6,2.9,1.0,1.0,1.0,1.6,4.0
2030,Latin America-Caribbean,Antigua and Barbuda,1.0,93.0,3.6,1.0,1.0,1.0,1.0,1.7
2030,Latin America-Caribbean,Argentina,1.0,85.6,1.0,1.0,1.0,1.0,1.0,12.1
2030,Asia-Pacific,Armenia,1.0,98.0,1.0,1.0,1.0,1.0,1.0,1.3
2030,Latin America-Caribbean,Aruba,1.0,91.4,1.4,1.0,1.0,1.0,1.0,6.4
2030,Asia-Pacific,Australia,3.1,56.5,1.0,1.9,1.0,3.6,1.0,32.8
2030,Europe,Austria,1.0,76.5,1.0,1.0,1.0,7.1,1.0,15.4
2030,Asia-Pacific,Azerbaijan,1.0,2.3,1.0,1.0,1.0,97.6,1.0,1.0
2030,Latin America-Caribbean,Bahamas,1.0,96.4,1.0,1.0,1.0,1.0,1.0,2.8
2030,Middle East-North Africa,Bahrain,3.5,13.5,1.0,10.5,1.0,69.4,1.0,2.1
2030,Asia-Pacific,Bangladesh,1.0,1.0,1.0,7.9,1.0,91.1,1.0,1.0
2030,Latin America-Caribbean,Barbados,1.0,95.2,1.0,1.0,1.0,1.0,1.4,1.9
2030,Europe,Belarus,1.0,70.7,1.0,1.0,1.0,1.1,1.0,28.1
2030,Europe,Belgium,1.0,57.3,1.0,1.0,1.0,8.9,1.0,32.4
2030,Latin America-Caribbean,Belize,1.0,87.5,1.5,1.0,1.1,1.0,1.0,9.1
2030,Sub-Saharan Africa,Benin,1.0,50.9,18.2,1.0,1.0,25.5,1.0,5.4
2030,North America,Bermuda,1.0,75.0,3.0,1.0,1.0,1.1,1.0,19.4
2030,Asia-Pacific,Bhutan,74.7,1.0,1.9,22.5,1.0,1.0,1.0,1.0
2030,Latin America-Caribbean,Bolivia,1.0,94.1,1.0,1.0,1.0,1.0,1.0,4.1
2030,Europe,Bosnia-Herzegovina,1.0,50.0,1.0,1.0,1.0,47.7,1.0,2.3
2030,Sub-Saharan Africa,Botswana,1.0,79.9,3.2,1.0,1.0,1.2,1.0,15.0
2030,Latin America-Caribbean,Brazil,1.0,87.4,3.5,1.0,1.0,1.0,1.0,8.8
2030,Latin America-Caribbean,British Virgin Islands,1.0,84.5,8.4,1.2,1.0,1.2,1.0,3.9
2030,Asia-Pacific,Brunei,8.6,9.4,6.2,1.0,1.0,75.1,1.0,1.0
2030,Europe,Bulgaria,1.0,80.0,1.0,1.0,1.0,14.6,1.0,5.2
2030,Sub-Saharan Africa,Burkina Faso,1.0,20.9,15.3,1.0,1.0,63.2,1.0,1.0
2030,Sub-Saharan Africa,Burundi,1.0,90.9,6.1,1.0,1.0,3.0,1.0,1.0
2030,Asia-Pacific,Cambodia,96.8,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2030,Sub-Saharan Africa,Cameroon,1.0,68.9,3.2,1.0,1.0,20.3,2.7,5.0
2030,North America,Canada,1.2,64.0,1.3,2.0,1.2,3.6,1.5,25.2
2030,Sub-Saharan Africa,Cape Verde,1.0,89.5,1.4,1.0,1.0,1.0,1.0,8.9
2030,Latin America-Caribbean,Cayman Islands,1.0,83.5,4.5,1.0,1.0,1.0,1.0,9.4
2030,Sub-Saharan Africa,Central African Republic,1.0,88.6,1.0,1.0,1.0,9.4,1.0,1.0
2030,Sub-Saharan Africa,Chad,1.0,41.4,1.3,1.0,1.0,54.9,1.0,2.2
2030,Europe,Channel Islands,1.0,85.2,1.0,1.0,1.0,1.0,1.0,14.2
2030,Latin America-Caribbean,Chile,1.0,87.5,1.4,1.0,1.0,1.0,1.0,10.6
2030,Asia-Pacific,China,18.4,5.3,21.9,1.0,1.0,2.2,1.0,51.6
2030,Latin America-Caribbean,Colombia,1.0,92.1,1.0,1.0,1.0,1.0,1.0,6.9
2030,Sub-Saharan Africa,Comoros,1.0,1.0,1.0,1.0,1.0,98.3,1.0,1.0
2030,Sub-Saharan Africa,Republic of the Congo,1.0,87.3,2.7,1.0,1.0,1.1,1.0,7.8
2030,Sub-Saharan Africa,Democratic Republic of the Congo,1.0,95.8,1.0,1.0,1.0,1.6,1.0,1.7
2030,Asia-Pacific,Cook Islands,1.0,96.0,1.0,1.0,1.0,1.0,1.0,3.2
2030,Latin America-Caribbean,Costa Rica,1.0,90.6,1.0,1.0,1.0,1.0,1.0,8.2
2030,Sub-Saharan Africa,Ivory Coast,1.0,43.3,11.0,1.0,1.0,37.1,1.0,8.4
2030,Europe,Croatia,1.0,93.4,1.0,1.0,1.0,1.7,1.0,4.8
2030,Latin America-Caribbean,Cuba,1.0,58.5,17.8,1.0,1.0,1.0,1.0,23.3
2030,Asia-Pacific,Cyprus,1.0,71.3,1.0,1.0,1.0,24.9,1.0,2.5
